word_form,part_of_speech,lemgram,compound,raw_frequency,relative_frequency
.,Fp,__UNDEF__,+,35726,48064.944046
",",Fc,__UNDEF__,+,35677,47999.020565
the,DT,__UNDEF__,+,31877,42886.587397
and,CC,__UNDEF__,+,19765,26591.379361
"""",Fe,__UNDEF__,+,19683,26481.058435
to,TO,__UNDEF__,+,16029,21565.050331
a,DT,__UNDEF__,+,12828,17258.498075
of,IN,__UNDEF__,+,10769,14488.366524
was,VBD,__UNDEF__,+,9440,12700.360292
I,PRP,__UNDEF__,+,9296,12506.625982
he,PRP,__UNDEF__,+,8806,11847.391179
in,IN,__UNDEF__,+,8689,11689.982053
not,RB,__UNDEF__,+,6994,9409.567784
had,VBD,__UNDEF__,+,6526,8779.931278
it,PRP,__UNDEF__,+,6257,8418.024825
you,PRP,__UNDEF__,+,5327,7166.824076
that,IN,__UNDEF__,+,5057,6803.572245
on,IN,__UNDEF__,+,4735,6370.360803
his,PRP$,__UNDEF__,+,4381,5894.097292
with,IN,__UNDEF__,+,4340,5838.936829
',Fe,__UNDEF__,+,4235,5697.672228
said,VBD,__UNDEF__,+,4024,5413.79765
for,IN,__UNDEF__,+,3973,5345.183415
they,PRP,__UNDEF__,+,3719,5003.457619
she,PRP,__UNDEF__,+,3486,4689.984743
!,Fat,__UNDEF__,+,3297,4435.708462
?,Fit,__UNDEF__,+,3190,4291.753107
as,IN,__UNDEF__,+,3183,4282.335467
at,IN,__UNDEF__,+,3131,4212.375855
is,VBZ,__UNDEF__,+,3110,4184.122935
but,CC,__UNDEF__,+,3107,4180.086804
be,VB,__UNDEF__,+,2988,4019.986923
The,DT,__UNDEF__,+,2980,4009.223906
him,PRP,__UNDEF__,+,2977,4005.187774
were,VBD,__UNDEF__,+,2974,4001.151643
He,PRP,__UNDEF__,+,2950,3968.862591
her,PRP$,__UNDEF__,+,2426,3263.884965
all,DT,__UNDEF__,+,2400,3228.905159
;,Fx,__UNDEF__,+,2276,3062.078392
have,VBP,__UNDEF__,+,2246,3021.717078
from,IN,__UNDEF__,+,2166,2914.086906
are,VBP,__UNDEF__,+,2137,2875.070969
up,RP,__UNDEF__,+,2132,2868.344083
's,POS,__UNDEF__,+,2119,2850.85418
could,MD,__UNDEF__,+,2101,2826.637391
-,Fg,__UNDEF__,+,2070,2784.9307
so,RB,__UNDEF__,+,2061,2772.822305
out,RP,__UNDEF__,+,1959,2635.593836
It,PRP,__UNDEF__,+,1948,2620.794687
me,PRP,__UNDEF__,+,1907,2565.634224
that,WDT,__UNDEF__,+,1888,2540.072058
them,PRP,__UNDEF__,+,1875,2522.582155
this,DT,__UNDEF__,+,1860,2502.401498
would,MD,__UNDEF__,+,1771,2382.662932
will,MD,__UNDEF__,+,1769,2379.972178
But,CC,__UNDEF__,+,1724,2319.430206
when,WRB,__UNDEF__,+,1719,2312.70332
been,VBN,__UNDEF__,+,1661,2234.671445
's,VBZ,__UNDEF__,+,1661,2234.671445
did,VBD,__UNDEF__,+,1627,2188.928622
my,PRP$,__UNDEF__,+,1621,2180.856359
have,VB,__UNDEF__,+,1616,2174.129474
who,WP,__UNDEF__,+,1589,2137.804291
we,PRP,__UNDEF__,+,1589,2137.804291
one,Z,__UNDEF__,+,1564,2104.169862
can,MD,__UNDEF__,+,1530,2058.427039
what,WP,__UNDEF__,+,1521,2046.318645
their,PRP$,__UNDEF__,+,1509,2030.174119
She,PRP,__UNDEF__,+,1435,1930.61621
or,CC,__UNDEF__,+,1402,1886.218764
about,IN,__UNDEF__,+,1393,1874.110369
an,DT,__UNDEF__,+,1388,1867.383484
do,VBP,__UNDEF__,+,1378,1853.929712
by,IN,__UNDEF__,+,1366,1837.785186
time,NN,__UNDEF__,+,1361,1831.058301
little,JJ,__UNDEF__,+,1290,1735.536523
:,Fd,__UNDEF__,+,1288,1732.845769
into,IN,__UNDEF__,+,1288,1732.845769
which,WDT,__UNDEF__,+,1272,1711.319734
],Fct,__UNDEF__,+,1271,1709.974357
[,Fca,__UNDEF__,+,1270,1708.62898
am,VBP,__UNDEF__,+,1202,1617.143334
if,IN,__UNDEF__,+,1193,1605.034939
nt,RB,__UNDEF__,+,1178,1584.854282
there,EX,__UNDEF__,+,1178,1584.854282
And,CC,__UNDEF__,+,1131,1521.621556
no,DT,__UNDEF__,+,1102,1482.605619
came,VBD,__UNDEF__,+,1088,1463.770339
down,RP,__UNDEF__,+,1075,1446.280436
that,DT,__UNDEF__,+,1049,1411.30063
like,IN,__UNDEF__,+,1045,1405.919121
very,RB,__UNDEF__,+,1038,1396.501481
now,RB,__UNDEF__,+,1023,1376.320824
They,PRP,__UNDEF__,+,1021,1373.63007
then,RB,__UNDEF__,+,1015,1365.557807
boy,NN,__UNDEF__,+,1014,1364.21243
more,RB,__UNDEF__,+,1001,1346.722527
Blomkvist,NP,__UNDEF__,+,994,1337.304887
just,RB,__UNDEF__,+,983,1322.505738
went,VBD,__UNDEF__,+,975,1311.742721
You,PRP,__UNDEF__,+,955,1284.835178
before,IN,__UNDEF__,+,893,1201.421795
thought,VBD,__UNDEF__,+,872,1173.168874
again,RB,__UNDEF__,+,870,1170.47812
only,RB,__UNDEF__,+,859,1155.678971
see,VB,__UNDEF__,+,852,1146.261331
any,DT,__UNDEF__,+,851,1144.915954
way,NN,__UNDEF__,+,822,1105.900017
there,RB,__UNDEF__,+,808,1087.064737
has,VBZ,__UNDEF__,+,805,1083.028605
other,JJ,__UNDEF__,+,802,1078.992474
over,IN,__UNDEF__,+,802,1078.992474
your,PRP$,__UNDEF__,+,798,1073.610965
some,DT,__UNDEF__,+,794,1068.229457
her,PRP,__UNDEF__,+,786,1057.46644
never,RB,__UNDEF__,+,786,1057.46644
here,RB,__UNDEF__,+,773,1039.976537
Then,RB,__UNDEF__,+,768,1033.249651
go,VB,__UNDEF__,+,750,1009.032862
too,RB,__UNDEF__,+,748,1006.342108
day,NN,__UNDEF__,+,744,1000.960599
going,VBG,__UNDEF__,+,744,1000.960599
still,RB,__UNDEF__,+,742,998.269845
good,JJ,__UNDEF__,+,731,983.470696
where,WRB,__UNDEF__,+,726,976.743811
how,WRB,__UNDEF__,+,724,974.053056
than,IN,__UNDEF__,+,724,974.053056
after,IN,__UNDEF__,+,722,971.362302
get,VB,__UNDEF__,+,706,949.836268
the,__UNDEF__,__UNDEF__,+,698,939.07325
us,PRP,__UNDEF__,+,689,926.964856
old,JJ,__UNDEF__,+,687,924.274102
