word_form,part_of_speech,lemgram,compound,raw_frequency,relative_frequency,stem
.,MAD,|,-,40355,52161.358328,
",",MID,|,-,40108,51842.095399,
och,KN,|och..kn.1|,-,23775,30730.672637,och
"""",PAD,|,-,16106,20818.011082,
han,PN.UTR.SIN.DEF.SUB,|han..pn.1|,-,10198,13181.552031,han
en,DT.UTR.SIN.IND,|en..al.1|,-,9730,12576.632797,en
på,PP,|på..pp.1|,-,9567,12365.945115,på
att,SN,|att..sn.1|,-,9481,12254.784743,att
i,PP,|i..pp.1|,-,9401,12151.379746,i
det,PN.NEU.SIN.DEF.SUB+OBJ,|den..pn.1|,-,8937,11551.630761,den
inte,AB,|inte..ab.1|,-,8621,11143.181022,inte
hade,VB.PRT.AKT,|ha..vb.1|,-,7863,10163.418673,ha
att,IE,|att..ie.1|,-,7556,9766.601995,att
var,VB.PRT.AKT,|vara..vb.1|,-,7450,9629.590374,vara
jag,PN.UTR.SIN.DEF.SUB,|jag..pn.1|,-,7213,9323.25307,jag
som,HP.-.-.-,|,-,6758,8735.137147,
med,PP,|med..pp.1|,-,6097,7880.753357,med
är,VB.PRS.AKT,|vara..vb.1|,-,5837,7544.687116,vara
till,PP,|till..pp.1|,-,4891,6321.923023,till
så,AB,|så..ab.1|,-,4858,6279.268461,så
-,MID,|,-,4724,6106.065091,
av,PP,|av..pp.1|,-,4644,6002.660094,av
för,PP,|för..pp.1|,-,4407,5696.322789,för
hon,PN.UTR.SIN.DEF.SUB,|hon..pn.1|,-,4060,5247.803613,hon
de,PN.UTR+NEU.PLU.DEF.SUB,|de..pn.1|,-,3945,5099.15893,de
har,VB.PRS.AKT,|ha..vb.1|,-,3581,4628.666192,ha
Det,PN.NEU.SIN.DEF.SUB+OBJ,|den..pn.1|,-,3526,4557.575256,den
du,PN.UTR.SIN.DEF.SUB,|du..pn.1|,-,3478,4495.532258,du
ett,DT.NEU.SIN.IND,|en..al.1|,-,3402,4397.29751,en
men,KN,|men..kn.1|,-,3184,4115.518893,men
